position,id,name,site_category,ml_item_id,price,original_price,previous_price,previous_price_source,previous_price_expires_at,last_price_source,free_shipping,clicks_count,source_url
1,2dc08cfd-3d12-46fe-8e86-d0f3514c1f82,(Kit 2x) Creatina Monohidratada Pó Growth Suplementos Sem Sabor,suplementos,MLB6173287630,59.9,,115,HISTORY,2026-02-23T19:46:52.069719+00:00,scraper,true,3,https://www.mercadolivre.com.br/kit-2x-creatina-monohidratada-po-growth-suplementos-sem-sabor/p/MLB56656247?pdp_filters=item_id%3AMLB6173287630#origin%3Dshare%26sid%3Dshare%26wid%3DMLB6173287630
2,28c2f424-454d-4846-beba-ba79c3197956,Whey Protein Concentrado 80% - Growth Supplements Sabor Cookies and cream,suplementos,MLB4375438657,32.9,,164.9,HISTORY,2026-02-23T19:46:52.069719+00:00,scraper,true,0,https://www.mercadolivre.com.br/whey-protein-concentrado-80-growth-supplements-sabor-cookies-and-cream/p/MLB19049053?pdp_filters=item_id%3AMLB4375438657#origin%3Dshare%26sid%3Dshare%26wid%3DMLB4375438657
3,f93e1dda-b8de-428f-8b5a-5d04424a73b4,Creatina Monohidratada 1Kg Soldiers Nutrition 100% Pura Importada Alta Performance Músculo Treino,suplementos,MLB6125149248,210,,230,HISTORY,2026-02-23T02:20:59.893+00:00,catalog,true,0,https://www.mercadolivre.com.br/p/MLB18725310
4,788d1e28-b2a2-482f-a934-024b4608eb43,Creatina Monohidratada 1Kg Soldiers Nutrition 100% Pura Importada Alta Performance Músculo Treino,suplementos,MLB6001001720,140,,145,HISTORY,2026-02-23T02:20:42.347+00:00,catalog,true,0,https://www.mercadolivre.com.br/p/MLB18725310
5,9abb52c8-47df-4db0-94b5-c5a779f3b9ce,Whey 100% Pure Baunilha 900g Pote - Proteína Pura e Rápida Absorção para Melhor Performance,suplementos,MLB5489426612,130,,132.72,,,catalog,true,0,https://www.mercadolivre.com.br/p/MLB12702741
6,8bfc0ddb-ea27-4fea-8667-f0b4ac855a42,Kit Super Band 3 Intensidades Odin Fit Elasticos Power,acessorios,MLB3649470179,119.9,199.9,,,,catalog_ingest,true,0,https://www.mercadolivre.com.br/p/MLB35390523
7,a4196ff0-9fb3-491f-b30c-a282fa31dddc,Garrafa térmica Stanley Quick Flip de aço inoxidável 710mL Polar,acessorios,MLB6025684184,220.9,,349,HISTORY,2026-02-23T18:40:02.249+00:00,catalog,true,0,https://www.mercadolivre.com.br/p/MLB35973271
8,391bbe7b-05c2-425a-9c6b-70aead82b453,Garrafa térmica Stanley Quick Flip de aço inoxidável 710mL Polar,acessorios,MLB4362272979,333,,349,HISTORY,2026-02-23T18:23:30.114+00:00,catalog,true,0,https://www.mercadolivre.com.br/p/MLB35973271
9,ba6e2cb9-1990-4641-9b84-e1c73ebfeefa,Smartwatch Xiaomi Redmi Watch 5 Active Tela Lcd 2.00 Preto,acessorios,MLB4357928709,210,,223,,,catalog,true,0,https://www.mercadolivre.com.br/p/MLB43319779
10,71573129-e5c5-4982-854d-f814ee6fee45,"Kit Halteres 6 Em 1 Peso Musculação Até 40kg Ajustável Halter, Kettlebell, Anilha Cor Preto-Vermelho + E-book",equipamentos,MLB5411218042,499,,545,,,scraper,true,0,https://www.mercadolivre.com.br/p/MLB26591487
11,4af5027d-5c0b-4540-8d35-9861739d9d46,Creatina Monohidratada 250g Growth Supplements - Sem sabor em Pó,suplementos,MLB5444882342,16.19,,115.5,,,catalog,true,0,https://www.mercadolivre.com.br/p/MLB19603205
12,2e6711e7-9fe0-4514-ab03-cbe72e29f5eb,Creatina Monohidratada 250g Growth Supplements - Sem sabor em Pó,suplementos,MLB5536702760,16.19,,79,,,catalog,true,0,https://www.mercadolivre.com.br/p/MLB19603205
13,63f28287-50e5-4e75-8a27-420f8f36c256,Smartwatch Xiaomi Redmi Watch 5 Active Tela Lcd 2.00 Preto,acessorios,MLB4424730823,210,,224.99,,,catalog,true,0,https://www.mercadolivre.com.br/p/MLB43319779
14,c2192698-66c0-4375-9e09-d10b485b8a2e,Creatina Monohidratada 250g Growth Supplements - Sem sabor em Pó,suplementos,MLB5511527784,16.19,,129,,,catalog,true,0,https://www.mercadolivre.com.br/p/MLB19603205
15,d81e433f-3a41-4656-a2ae-2c94f4d157aa,Creatina Monohidratada 250g Growth Supplements - Sem sabor em Pó,suplementos,MLB3355561200,16.19,,96.75,,,catalog,true,0,https://www.mercadolivre.com.br/p/MLB19603205