position,product_id,source_url,external_id,affiliate_url,apply_status,error_message,applied_at
1,2dc08cfd-3d12-46fe-8e86-d0f3514c1f82,https://www.mercadolivre.com.br/kit-2x-creatina-monohidratada-po-growth-suplementos-sem-sabor/p/MLB56656247?pdp_filters=item_id%3AMLB6173287630#origin%3Dshare%26sid%3Dshare%26wid%3DMLB6173287630,MLB6173287630,,PENDING,,
2,21b79423-50e2-4095-ac38-7fb4e46e09e2,https://www.mercadolivre.com.br/pre-treino-insane-clown-350g-demons-lab-sabor-fruit-punch/p/MLB25904523?pdp_filters=item_id%3AMLB5163269734&attributes=FLAVOR%3APonche_de_frutas_vpp&matt_tool=38524122#origin=share&sid=share&wid=MLB5163269734,MLB5163269734,,PENDING,,
3,9784b616-37b1-437f-a171-6aad8e076d95,https://www.mercadolivre.com.br/fresh-whey-chocolate-e-avel-sabor-chocolate-belga-e-avel-dux-human-health-pote-900g/p/MLB19550288?pdp_filters=item_id%3AMLB3208376680&matt_tool=38524122#origin=share&sid=share&wid=MLB3208376680,MLB3208376680,,PENDING,,
4,2ef7e747-1b11-4e54-9f4f-3d7dab4d86f1,https://www.mercadolivre.com.br/suplemento-em-po-adaptogen-science-panic-pre-treino-com-creatina-pote-300g-sabor-melancia/p/MLB45677526?pdp_filters=item_id%3AMLB4693548954&matt_tool=38524122#origin=share&sid=share&wid=MLB4693548954,MLB4693548954,,PENDING,,
5,fc98bd41-70c3-4fef-bcba-4fbbc9e9df91,https://www.mercadolivre.com.br/dilabol-pump-pre-treino-pote-300g-sabor-energetico-diabo-verde-ftw/p/MLB48935951?pdp_filters=item_id%3AMLB4043496307#origin%3Dshare%26sid%3Dshare%26wid%3DMLB4043496307,MLB4043496307,,PENDING,,
6,62711211-3133-4e0f-86b7-fba779079d4b,https://www.mercadolivre.com.br/suplemento-academia-creatina-max-titanium-em-po-pote-150g-creatina-sem-sabor/p/MLB6098706?pdp_filters=item_id%3AMLB5361352556#origin%3Dshare%26sid%3Dshare%26wid%3DMLB5361352556,MLB5361352556,,PENDING,,
7,a25a9b7e-b854-46c2-a5ab-06c451d970b4,https://www.mercadolivre.com.br/pre-treino-c-cafeina-350g-insane-mad-sabor-frutas-vermelhas/p/MLB47734999?pdp_filters=item_id%3AMLB5351531154&matt_tool=38524122#origin=share&sid=share&wid=MLB5351531154,MLB5351531154,,PENDING,,
8,58be89a4-3ce6-4de3-aee9-aced6f36e4a3,https://www.mercadolivre.com.br/whey-protein-concentrado-dux-nutrition-pote-900g-sem-sabor/p/MLB18510407?pdp_filters=item_id%3AMLB5899235130#origin%3Dshare%26sid%3Dshare%26wid%3DMLB5899235130,MLB5899235130,,PENDING,,
9,482b9a95-f42b-42fa-99ab-9a133f28dda0,https://www.mercadolivre.com.br/creatina-250g-monohidratada-growth-supplements-sabor-sem-sabor/p/MLB47820524?pdp_filters=item_id%3AMLB3895172660&matt_tool=38524122#origin=share&sid=share&wid=MLB3895172660,MLB3895172660,,PENDING,,
10,28c2f424-454d-4846-beba-ba79c3197956,https://www.mercadolivre.com.br/whey-protein-concentrado-80-growth-supplements-sabor-cookies-and-cream/p/MLB19049053?pdp_filters=item_id%3AMLB4375438657#origin%3Dshare%26sid%3Dshare%26wid%3DMLB4375438657,MLB4375438657,,PENDING,,
11,134c68df-7dad-4d27-ab8d-3ad657f21de2,https://www.mercadolivre.com.br/smartwatch-huawei-band-10-caixa-de-polimeros-duraveis-analise-do-sono-em-nivel-profissional-assistente-de-bem-estar-emocional-relogio-smartwatch-compativel-com-android-e-ios-preto/p/MLB46202402?pdp_filters=item_id%3AMLB4456238065&matt_tool=38524122#origin=share&sid=share&wid=MLB4456238065,MLB4456238065,,PENDING,,
12,6a4b6369-80fc-4d32-a143-624cdc225d6e,https://www.mercadolivre.com.br/p/MLB35973271,MLB5923674106,,PENDING,,
13,a4196ff0-9fb3-491f-b30c-a282fa31dddc,https://www.mercadolivre.com.br/p/MLB35973271,MLB6025684184,,PENDING,,
14,391bbe7b-05c2-425a-9c6b-70aead82b453,https://www.mercadolivre.com.br/p/MLB35973271,MLB4362272979,,PENDING,,
15,63f28287-50e5-4e75-8a27-420f8f36c256,https://www.mercadolivre.com.br/p/MLB43319779,MLB4424730823,,PENDING,,
16,1dde0672-c9b5-45d0-ad77-1e97353fd91f,https://www.mercadolivre.com.br/p/MLB43319779,MLB4467708909,,PENDING,,
17,08d6b436-11a6-45b2-a701-d2f8856cf3ff,https://www.mercadolivre.com.br/p/MLB43319779,MLB4374867921,,PENDING,,
18,e4d28cf0-6aa8-41a0-a7ac-421511f974d1,https://www.mercadolivre.com.br/p/MLB43319779,MLB4467335007,,PENDING,,
19,3ae790a7-1dd3-4c97-aab2-ba8d3ebc5b0c,https://www.mercadolivre.com.br/p/MLB35973271,MLB5929723640,,PENDING,,
20,8efc6c4b-8819-4ef5-acd5-84294e5eb1d3,https://www.mercadolivre.com.br/p/MLB35973271,MLB5909533668,,PENDING,,
21,4bbe0b39-d3fd-4310-992e-7d0c0e70a8ad,https://www.mercadolivre.com.br/p/MLB35973271,MLB5303361832,,PENDING,,
22,ba6e2cb9-1990-4641-9b84-e1c73ebfeefa,https://www.mercadolivre.com.br/p/MLB43319779,MLB4357928709,,PENDING,,
23,e54790e1-02d9-483a-a609-a2a555c81b55,https://www.mercadolivre.com.br/p/MLB35973271,MLB6028978236,,PENDING,,
24,3f139ec1-a04a-4130-a389-63db154c1352,https://produto.mercadolivre.com.br/MLB-4200071775-kit-3-bermuda-masculina-tactel-com-elastano-academia-treino-_JM?matt_tool=38524122#origin=share&sid=share,MLB4200071775,,PENDING,,
25,bae14f83-953e-4029-b7cd-b342841d51ed,https://produto.mercadolivre.com.br/MLB-3977796201-conjunto-academia-feminino-look-fitness-short-e-top-bolsos-_JM?matt_tool=38524122#origin=share&sid=share,MLB3977796201,,PENDING,,
26,07a39599-9232-40ea-817a-8f4baadab92c,https://produto.mercadolivre.com.br/MLB-5377923108-kit-legging-leg-feminino-academia-duplo-bolso-2-unidades-_JM?matt_tool=38524122#origin=share&sid=share,MLB5377923108,,PENDING,,
27,d979f301-e967-46a5-b0ff-f760c550b5f3,https://produto.mercadolivre.com.br/MLB-5312509970-conjunto-academia-top-e-calca-plus-size-com-bolso-treino-_JM?matt_tool=38524122#origin=share&sid=share,MLB5312509970,,PENDING,,
28,cd28f31a-849b-47a3-8f2c-94bdc076d5e8,https://produto.mercadolivre.com.br/MLB-5314157292-conjunto-sports-zero-transparncia-feminino-2-pecas-_JM?matt_tool=38524122#origin=share&sid=share,MLB5314157292,,PENDING,,
29,8bfc0ddb-ea27-4fea-8667-f0b4ac855a42,https://www.mercadolivre.com.br/p/MLB35390523,MLB3649470179,,PENDING,,
30,22da2fc2-fa62-40ad-809c-5a8fb607e128,https://www.mercadolivre.com.br/p/MLB27060639,MLB4084084526,,PENDING,,